"FEATURE","cc_mean","cc_sd","cc_cv","gap_cover","p0_10","p10_20","p20_30","p30_40","p40_50","p50_60","p60_70","p70_80","p80_90","p90_100","H","RC2"
190581,42.0712401055409,13.9900285538133,0.332531879704938,0.275722251034756,5.80474934036939,0.211081794195251,5.64643799472296,24.6437994722955,32.3482849604222,29.287598944591,2.05804749340369,0,0,0,0.765891736472668,0.342957632479125
190589,48.8453096118299,10.9131536741744,0.223422755652496,0.15891469965935,1.83687615526802,0.0231053604436229,1.14371534195933,12.2227356746765,32.5439001848429,43.2416820702403,8.94177449168207,0.0115526802218115,0.0346580406654344,0,0.605743158507565,0.467969713611347
190609,51.2569983745711,13.4017329898128,0.261461525543826,0.456306669363595,3.95521040274517,0.144482571789778,1.31840346758172,4.876286797905,20.3901029438324,50.6953223767383,18.2951056528806,0.270904822105833,0.0541809644211667,0,0.6103320408214,0.445412289696346
190615,49.9802575107296,11.5022299081309,0.230135467102418,0,2.67811158798283,0,1.25321888412017,7.31330472103004,26.3862660944206,53.1845493562232,9.06437768240343,0.120171673819742,0,0,0.645543801810531,0.417081526929847
190625,49.1335465204812,11.0956978632452,0.22582733486621,0.38800134040199,2.05573321151211,0,1.79686310339577,10.8877721943049,27.6229633013553,50.4035328155931,7.11131414649003,0.0456829602558246,0.076138267093041,0,0.620924081037547,0.440216380957886
190653,46.2936164457668,10.0574972359972,0.217254516025544,0.0527581212086819,1.08195834460373,0.0743846361915066,3.04977008385177,18.4812009737625,38.1390316472816,35.7654855288071,3.39464430619421,0,0.0135244793075467,0,0.636818520945812,0.443702122054397
190667,46.2573789846517,15.3079629597791,0.330930184454642,1.90733809733351,6.65092483274301,0.118063754427391,2.51869342778434,12.396694214876,26.6430539157812,43.0932703659976,8.53994490358127,0.0393545848091303,0,0,0.706015632638601,0.36044827046311
190669,49.1333333333333,15.3643438865141,0.312707134732309,0,8,0,0,1.33333333333333,16,70.6666666666667,4,0,0,0,0.575943216622665,0.51619212302052
190685,51.7789115646259,11.8420231487213,0.228703593623074,0,3.33333333333333,0,0.340136054421769,3.26530612244898,19.9659863945578,59.4557823129252,13.6394557823129,0,0,0,0.640139738752387,0.419754457060474
190707,52.9957823703079,8.58924206340498,0.162074068524693,0.0924185776705631,0.826655419654154,0,0.27836355967946,3.62716153521721,21.4255588359342,59.9662589624631,13.7494727962885,0.109658371994939,0.0168705187684521,0,0.526495193911748,0.533600358448806
190715,49.1913746630728,15.5652595918096,0.316422537455417,1.52344812628412,7.66268771659607,0,0.154023873700424,3.61956103195995,17.9437812860993,61.1859838274933,9.20292645360031,0.192529842125529,0.0385059684251059,0,0.562840606555822,0.484957591225179
190719,30.1865041486159,11.0841196707363,0.367187920011086,1.88082352076662,7.40876716352155,2.32028783317424,30.5602467141494,47.9183493648579,10.5954915926279,1.18951464865262,0.00734268301637418,0,0,0,0.660974347446474,0.416877295236683
190727,41.7624550991723,14.465838925369,0.346383824682177,0.905926106232489,5.6848352334843,0.468530376386069,7.99625175698891,26.0815242854912,25.7691707012338,31.4227705762924,2.48321099484617,0.0780883960643448,0.015617679212869,0,0.706605704678475,0.405282621719142
190745,49.7015985790409,9.85050557739064,0.198192932602063,0.208178047015288,1.3854351687389,0.0710479573712256,1.31438721136767,9.23623445825933,27.9218472468917,54.8490230905861,5.18650088809947,0.0355239786856128,0,0,0.569051796240238,0.492402083797991
190757,52.621969033012,9.69347313248295,0.184209624052681,0,1.98656149576395,0,0.408997955010225,1.51913526146655,18.9307624890447,67.0172363423897,9.96202161846334,0.146070698217938,0.0292141396435875,0,0.475570530696883,0.56309367514388
